goal_index,point_index,time_from_start,positions,velocities,accelerations,success
2,8,1.240525983,"[-1.804836781192864, 0.022453281773971934, 0.6882619882568087, 0.698155268440264, 1.4857744933165664, 0.04936757663696018]","[-0.5443780779117943, -0.37791434456066375, -0.845262596918405, 1.1439686774088864, -0.12592047976815576, 0.0609648050048384]","[-0.4030091036838488, -0.2797741633074186, -0.6257572363463229, 0.8468926469146005, -0.09322032195244474, 0.04513291849574373]",True
2,9,1.318740611,"[-1.8486857380322044, -0.007987234580349722, 0.6201771688379977, 0.7903004800066037, 1.475631759972632, 0.05427821358551326]","[-0.5749221946959742, -0.399118467840126, -0.8926888260799685, 1.2081547905129564, -0.13298566111107885, 0.06438543526044238]","[-0.3747210792033932, -0.2601362486590915, -0.5818340697011674, 0.787447538331961, -0.08667699892242678, 0.041964947619619414]",True
2,10,1.393159146,"[-1.8925346948715447, -0.038427750934671434, 0.5520923494191867, 0.8824456915729433, 1.4654890266286975, 0.05918885053406634]","[-0.6011832764394588, -0.4173492524679946, -0.9334647335844227, 1.2633404347708208, -0.13906013057732747, 0.06732640917667547]","[-0.3278858816441647, -0.22762264514318276, -0.5091124772594782, 0.6890269714834074, -0.07584351611694572, 0.03671988209913855]",True
2,11,1.464673895,"[-1.936383651710885, -0.06886826728899309, 0.4840075300003758, 0.9745909031392829, 1.4553462932847632, 0.06409948748261943]","[-0.625593728207839, -0.4342953056886969, -0.9713671449615321, 1.3146371224176587, -0.14470652950988894, 0.07006013136814915]","[-0.3550534256191456, -0.24648270764609884, -0.5512958599193553, 0.7461174764293909, -0.08212766000568808, 0.03976237056091763]",True
2,12,1.533398163,"[-1.9802326085502253, -0.09930878364331475, 0.4159227105815647, 1.0667361147056225, 1.4452035599408288, 0.06901012443117249]","[-0.6477084666083631, -0.4496476448200291, -1.0057049737041999, 1.3611095449228683, -0.14982190535313228, 0.0725367570241503]","[-0.2855154842952595, -0.19820856402459108, -0.44332343550928927, 0.5999888390103668, -0.06604278941872004, 0.03197482876734165]",True
2,13,1.600101261,"[-2.0240815653895656, -0.1297492999976364, 0.3478378911627539, 1.158881326271962, 1.4350608265968945, 0.07392076137972557]","[-0.6673346808550635, -0.4632724181057211, -1.0361788401124106, 1.4023525252435762, -0.15436165890723935, 0.07473469329873923]","[-0.30308043988797545, -0.21040238473376072, -0.4705967600267823, 0.6369002427451342, -0.07010575176991124, 0.03394192504854143]",True
2,14,1.664842631,"[-2.067930522228906, -0.16018981635195806, 0.2797530717439429, 1.2510265378383014, 1.42491809325296, 0.07883139832827865]","[-0.6875555890196519, -0.4773100356467419, -1.067576095146657, 1.4448452091109814, -0.15903897153378735, 0.07699922924038421]","[-0.3217259941941055, -0.22334637112939357, -0.4995479435759805, 0.6760824415966915, -0.07441866817668429, 0.03603003738921581]",True
2,15,1.727679966,"[-2.1117794790682463, -0.19063033270627971, 0.21166825232513187, 1.3431717494046411, 1.4147753599090256, 0.08374203527683173]","[-0.7083892109225369, -0.49177300703687477, -1.099924718405696, 1.4886254637922547, -0.16385801141023285, 0.07933238288559719]","[-0.34151862580923054, -0.2370866735175082, -0.5302802082971788, 0.717675135222399, -0.07899691585056683, 0.03824661071556566]",True
2,16,1.788669265,"[-2.1556284359075866, -0.22107084906060143, 0.14358343290632103, 1.4353169609709806, 1.404632626565091, 0.08865267222538481]","[-0.7261870493413062, -0.5041284980339134, -1.1275596429770296, 1.5260262528812512, -0.16797484205323712, 0.08132555967344621]","[-0.23930287655262122, -0.16612717045976227, -0.37156854600162054, 0.5028765967947242, -0.05535331830581097, 0.026799486970678077]",True
2,17,1.848456833,"[-2.1994773927469273, -0.2515113654149231, 0.07549861348750997, 1.5274621725373203, 1.3944898932211567, 0.09356330917393789]","[-0.733412612279651, -0.5091445778371306, -1.1387788642155021, 1.5412102178745248, -0.16964619214742346, 0.0821347491934878]","[2.488308002537435e-13, 0.0, 0.0, 0.0, 0.0, 0.0]",True
2,18,1.908244402,"[-2.243326349586267, -0.28195188176924474, 0.007413794068698909, 1.61960738410366, 1.3843471598772223, 0.09847394612249097]","[-0.7261870493413024, -0.5041284980339129, -1.1275596429770296, 1.5260262528812512, -0.16797484205323712, 0.08132555967344621]","[0.23930287655225352, 0.1661271704597779, 0.37156854600162054, -0.5028765967947242, 0.05535331830581097, -0.026799486970678077]",True
2,19,1.9692337009999998,"[-2.287175306425608, -0.3123923981235664, -0.06067102535011193, 1.7117525956699995, 1.3742044265332878, 0.10338458307104405]","[-0.7083892109225407, -0.49177300703687515, -1.099924718405696, 1.4886254637922547, -0.16385801141023285, 0.07933238288559719]","[0.3415186258093489, 0.23708667351746518, 0.5302802082971788, -0.717675135222399, 0.07899691585056683, -0.03824661071556566]",True
2,20,2.032071036,"[-2.3310242632649483, -0.34283291447788816, -0.128755844768923, 1.8038978072363392, 1.3640616931893534, 0.10829522001959713]","[-0.6875555890196514, -0.47731003564674246, -1.0675760951466573, 1.4448452091109805, -0.15903897153378724, 0.07699922924038417]","[0.32172599419411924, 0.22334637112942998, 0.4995479435759732, -0.6760824415967188, 0.07441866817668773, -0.03603003738921731]",True
2,21,2.096812406,"[-2.3748732201042886, -0.3732734308322098, -0.19684066418773405, 1.8960430188026787, 1.3539189598454189, 0.1132058569681502]","[-0.6673346808550631, -0.46327241810572084, -1.0361788401124108, 1.402352525243577, -0.15436165890723924, 0.07473469329873919]","[0.30308043988796174, 0.2104023847337513, 0.47059676002678874, -0.6369002427450562, 0.07010575176990783, -0.033941925048539934]",True
2,22,2.163515503,"[-2.418722176943629, -0.4037139471865315, -0.2649254836065449, 1.9881882303690184, 1.3437762265014845, 0.11811649391670329]","[-0.6445498437662651, -0.44745488774637043, -1.0008005408210114, 1.3544719418640359, -0.1490912820605682, 0.07218302340873554]","[0.3768963658346778, 0.26164636094105787, 0.5852116642472923, -0.7920187359455447, 0.08718016601775534, -0.0422085575860872]",True
2,23,2.232927014,"[-2.462571133782969, -0.43415446354085313, -0.33301030302535595, 2.0803334419353576, 1.3336334931575502, 0.12302713086525636]","[-0.619399730898853, -0.4299953521670263, -0.9617496484767645, 1.3016209132848064, -0.14327379159395087, 0.06936646670113777]","[0.3480574704627679, 0.24162602455260113, 0.5404331535333311, -0.7314160145371724, 0.08050942065056979, -0.03897889477592709]",True
2,24,2.305156911,"[-2.50642009062231, -0.4645949798951748, -0.401095122444167, 2.172478653501697, 1.3234907598136156, 0.12793776781380944]","[-0.5952309667717415, -0.4132170816514794, -0.9242225084994284, 1.2508321136344775, -0.13768329760131437, 0.06665981106601537]","[0.32142523443221777, 0.22313757978940782, 0.49908095016123993, -0.6754504180798646, 0.07434909922264855, -0.0359963553564669]",True
2,25,2.380319631,"[-2.55026904746165, -0.49503549624949644, -0.46917994186297785, 2.264623865068037, 1.3133480264696813, 0.13284840476236254]","[-0.5701348908663492, -0.39579505923424535, -0.8852555200166763, 1.1980946395764305, -0.13187830646275217, 0.0638493059482712]","[0.3444292024376326, 0.23910723368235112, 0.5347994967464615, -0.7237914882340084, 0.07967016339726044, -0.038572565679241735]",True
2,26,2.459059649,"[-2.59411800430099, -0.525476012603818, -0.5372647612817887, 2.356769076634376, 1.303205293125747, 0.13775904171091558]","[-0.5424066535700538, -0.37654575613253105, -0.8422015418790106, 1.1398258807233832, -0.12546446820374696, 0.06074402554024819]","[0.35788006016026297, 0.2484449941217083, 0.5556848104478457, -0.7520574315978332, 0.0827814908485718, -0.04007892486501044]",True
2,27,2.5421178380000002,"[-2.6379669611403305, -0.5559165289581398, -0.6053495807005995, 2.4489142882007155, 1.2930625597818124, 0.14266967865946867]","[-0.5129530964122831, -0.3560987135349347, -0.7964686381824418, 1.0779314948289116, -0.1186515449824219, 0.05744552686500713]","[0.35011958279974786, 0.2430575697669777, 0.5436350209482335, -0.7357493850723074, 0.08098640931962427, -0.039209830373118496]",True
2,28,2.630172262,"[-2.6818159179796712, -0.5863570453124614, -0.6734344001194106, 2.541059499767055, 1.282919826437878, 0.14758031560802176]","[-0.48101302899206827, -0.33392550316130004, -0.7468748991455594, 1.0108118987878485, -0.11126346530660372, 0.053868564343694275]","[0.37168885016815406, 0.25803123581054654, 0.5771258900501992, -0.7810755421404738, 0.08597561187101634, -0.04162536882435377]",True
2,29,2.724664054,"[-2.725664874819011, -0.6167975616667831, -0.7415192195382216, 2.633204711333395, 1.2727770930939437, 0.1524909525565748]","[-0.4435531870347287, -0.3079203934864985, -0.6887105376884031, 0.9320929209328537, -0.10259860266297774, 0.04967344324476697]","[0.4137933156973619, 0.28726070360007583, 0.642502016164177, -0.8695548393404966, 0.09571482569125343, -0.0463406404985418]",True
2,30,2.828312183,"[-2.769513831658352, -0.6472380780211047, -0.8096040389570327, 2.7253499228997344, 1.2626343597500091, 0.1574015895051279]","[-0.39956741449354594, -0.2773848978918556, -0.6204132828315541, 0.8396602016878663, -0.0924242223818964, 0.04474748432987702]","[0.4265925185691049, 0.29614607676323534, 0.6623754972918995, -0.8964513801362395, 0.0986754183963158, -0.047774020972420526]",True
2,31,2.944907287,"[-2.8133627884976917, -0.6776785943754264, -0.8776888583758435, 2.817495134466074, 1.2524916264060748, 0.16231222645368099]","[-0.3483496016747699, -0.24182882584081666, -0.5408867492912114, 0.7320299058191846, -0.08057699372868576, 0.03901161049886482]","[0.43778820670524454, 0.3039182691339569, 0.6797591811915908, -0.919978257998512, 0.10126510096922683, -0.049027824113687384]",True
2,32,3.081670163,"[-2.8572117453370325, -0.7081191107297482, -0.9457736777946544, 2.9096403460324134, 1.2423488930621405, 0.16722286340223408]","[-0.2838789539616029, -0.19707246337415624, -0.44078237455209146, 0.59654979633528, -0.06566424242513132, 0.031791554023692194]","[0.46775953946102244, 0.32472475828839376, 0.7262960414842757, -0.9829607095039675, 0.10819779123177652, -0.05238430838689065]",True
2,33,3.259097469,"[-2.901060702176373, -0.7385596270840697, -1.0138584972134657, 3.0017855575987533, 1.232206159718206, 0.17213350035078712]","[-0.17431837882165566, -0.12101408662517374, -0.2706663099634845, 0.3663166710048576, -0.040321707989840784, 0.01952188452258671]","[0.4779415748516548, 0.33179325973449625, 0.7421058141871842, -1.0043574740538377, 0.11055300506832949, -0.053524592735817854]",True
2,34,3.69111044,"[-2.944909659015713, -0.7690001434383914, -1.0819433166322765, 3.093930769165093, 1.2220634263742716, 0.1770441372993402]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.46988944455996146, 0.32620336612016465, 0.7296031715620538, -0.9874365413163336, 0.10869046109268421, -0.05262283608354938]",True
3,0,0.0,"[-2.944909659015713, -0.7690001434383914, -1.0819433166322765, 3.093930769165093, 1.2220634263742716, 0.1770441372993402]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.364876904420972, 0.0, 0.0, 0.0, 0.0, 0.0]",True
3,1,0.40128962,"[-2.9155309821984003, -0.725761754303958, -1.0679291814037442, 3.0455474633651587, 1.2067451989519717, 0.2578832555893848]","[0.12400443900001554, 0.1825048902379471, 0.059152254810210456, -0.2042210658429448, -0.06465669675284824, 0.34121378492122967]","[0.35684728288134976, 0.5251938940182799, 0.1702223047460923, -0.587686481555543, -0.18606242439703352, 0.981910107514674]",True
3,2,0.569361564,"[-2.8861523053810876, -0.6825233651695245, -1.0539150461752118, 2.9971641575652246, 1.1914269715296721, 0.3387223738794294]","[0.20056055106301796, 0.2951771860184271, 0.09567083982658378, -0.3303001879161177, -0.10457353652206042, 0.5518675402748394]","[0.34594165939896754, 0.5091434233038539, 0.16502013436980437, -0.5697261724794004, -0.18037616351729704, 0.9519019151035245]",True
3,3,0.699170255,"[-2.856773628563775, -0.639284976035091, -1.0399009109466795, 2.9487808517652905, 1.1761087441073723, 0.419561492169474]","[0.24561761163588608, 0.361490408033768, 0.11716383434756963, -0.4045039906843404, -0.128066572138587, 0.6758477001745309]","[0.32063256420574326, 0.471894485463326, 0.15294725972144332, -0.528045000115239, -0.16717984162596394, 0.8822607616621473]",True
3,4,0.81006987,"[-2.827394951746462, -0.5960465869006576, -1.0258867757181473, 2.9003975459653564, 1.1607905166850725, 0.5004006104595187]","[0.26646696527360536, 0.3921756724313081, 0.12710933540343433, -0.4388404810258776, -0.13893755664944496, 0.7332173147242687]","[0.028200157579518676, 0.04150389054816187, 0.013451961238531172, -0.046442419999433805, -0.014703740057232892, 0.07759627462272023]",True
3,5,0.919682969,"[-2.7980162749291493, -0.5528081977662241, -1.011872640489615, 2.852014240165422, 1.145472289262773, 0.5812397287495632]","[0.24822817873286582, 0.3653325387295335, 0.11840911984996848, -0.40880329480038025, -0.12942773829121348, 0.6830310033460498]","[-0.33235275565771866, -0.48914380550185554, -0.15853799305957533, 0.5473468090626566, 0.17329082338358875, -0.9145103401254504]",True
3,6,1.048291573,"[-2.7686375981118365, -0.5095698086317906, -0.9978585052610827, 2.8036309343654877, 1.130154061840473, 0.6620788470396078]","[0.20259389261820226, 0.2981697787057353, 0.09664077879617533, -0.33364886787444115, -0.10563373363587908, 0.5574625348869432]","[-0.3505965930492361, -0.5159943728485561, -0.16724061795592238, 0.5773923134591274, 0.18280327528730425, -0.9647105495538238]",True
3,7,1.21450473,"[-2.7392589212945238, -0.4663314194973572, -0.9838443700325503, 2.7552476285655536, 1.1148358344181735, 0.7429179653296524]","[0.1314171913452363, 0.19341468962928512, 0.06268826544906694, -0.21642901740482867, -0.06852175258757402, 0.3616109038049833]","[-0.3573247444519914, -0.5258966033103449, -0.17045006214507277, 0.5884728059132982, 0.18631137587194027, -0.9832239029802766]",True
3,8,1.55579435,"[-2.709880244477211, -0.4230930303629237, -0.969830234804018, 2.7068643227656195, 1.0995176069958736, 0.823757083619697]","[-0.00653905652678663, 0.08079919900478083, 0.059249022789124584, -0.18947874978937382, -0.08071762608812906, 0.06023453640426194]","[-0.5225293367687875, -0.2589052440165406, 0.10260262547911188, -0.2691765723648908, -0.20216331164800988, -0.9964747608579778]",True
3,9,1.923520789,"[-2.7463438067705863, -0.4102567281483801, -0.9413550621323873, 2.619642781871258, 1.0566583974029793, 0.7809557060063523]","[-0.15411589384399302, 0.05425356342118636, 0.12035238502870306, -0.36864817620485224, -0.18114756157699857, -0.18090313051594797]","[-0.40548296533927264, 0.14274255060619365, 0.3166502866764155, -0.9699230360093296, -0.47660399326868225, -0.47596088872583797]",True
3,10,2.097927255,"[-2.7828073690639616, -0.3974204259338365, -0.9128798894607566, 2.5324212409768974, 1.0137991878100852, 0.7381543283930078]","[-0.24123240110780048, 0.08492126961282397, 0.18838352161726907, -0.577032533710827, -0.28354415721896553, -0.28316155753834893]","[-0.4179608998823428, 0.14713516966846077, 0.3263945716105284, -0.9997704949402474, -0.49127053647599495, -0.49060764166554227]",True
3,11,2.231301664,"[-2.819270931357337, -0.3845841237192929, -0.8844047167891258, 2.445199700082536, 0.9709399782171908, 0.6953529507796632]","[-0.29657244584601083, 0.10440267774049589, 0.2315997416041627, -0.7094069829320591, -0.3485907524263143, -0.3481203822665043]","[-0.3747598271189455, 0.13192705529056342, 0.2926579334663898, -0.8964326996805104, -0.44049206844515737, -0.4398976914481059]",True
3,12,2.345338533,"[-2.8557344936507123, -0.3717478215047493, -0.8559295441174951, 2.3579781591881748, 0.9280807686242964, 0.6525515731663185]","[-0.3390918132727354, 0.11937081074597092, 0.26480402152676485, -0.8111141259416746, -0.3985679451546928, -0.39803013838055346]","[-0.3585226445291127, 0.12621106459390521, 0.2799779716396746, -0.8575930472659911, -0.4214069114268441, -0.4208382869441532]",True
3,13,2.4470695190000002,"[-2.8921980559440876, -0.35891151929020565, -0.8274543714458644, 2.270756618293814, 0.8852215590314022, 0.6097501955529738]","[-0.3751543513874208, 0.13206594004077657, 0.2929660258732105, -0.8973764093032746, -0.44095579160462195, -0.4403607888837461]","[-0.3434269938268547, 0.12089692844395031, 0.26818945638494024, -0.8214839610374628, -0.4036635090630435, -0.403118826601017]",True
3,14,2.5401178939999998,"[-2.928661618237463, -0.346075217075662, -0.7989791987742337, 2.1835350773994526, 0.842362349438508, 0.5669488179396293]","[-0.4067472353878888, 0.14318761278345024, 0.31763758209336534, -0.9729471942322705, -0.4780900141505656, -0.4774449044487329]","[-0.3312979135382811, 0.11662711687380789, 0.2587175991707055, -0.7924709681792557, -0.38940700855785515, -0.3888815630732245]",True
3,15,2.626602933,"[-2.9651251805308383, -0.33323891486111845, -0.770504026102603, 2.0963135365050913, 0.7995031398456136, 0.5241474403262846]","[-0.43606495136244605, 0.15350835598077467, 0.34053241112835, -1.043075733573274, -0.5125500080378544, -0.5118583998195843]","[-0.34518461820344437, 0.12151566661046018, 0.2695620227077967, -0.8256882322823984, -0.4057294177895459, -0.4051819476981744]",True
3,16,2.707540819,"[-3.0015887428242136, -0.3204026126465748, -0.7420288534309724, 2.00909199561073, 0.7566439302527194, 0.48134606271293995]","[-0.46314591177931375, 0.16304169201015584, 0.3616805100929979, -1.107853910687568, -0.5443809232168207, -0.5436463640236457]","[-0.3206802349109431, 0.11288936545554064, 0.25042602771499295, -0.7670732771048666, -0.3769270070149918, -0.376418401392806]",True
3,17,2.784180537,"[-3.038052305117589, -0.3075663104320312, -0.7135536807593417, 1.921870454716369, 0.7137847206598251, 0.4385446850995953]","[-0.4874446135726369, 0.17159558691298113, 0.3806558840209334, -1.1659768717711376, -0.5729415763043142, -0.572168478857144]","[-0.31171522436865273, 0.10973340434148622, 0.24342505997793998, -0.7456287998116138, -0.36638954875070195, -0.36589516182445836]",True
