index,time_abs,time_delta,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,t,j1_vel,j1_acc,j1_jerk,j2_vel,j2_acc,j2_jerk,j3_vel,j3_acc,j3_jerk,j4_vel,j4_acc,j4_jerk,j5_vel,j5_acc,j5_jerk,j6_vel,j6_acc,j6_jerk
3,0.925,0.122,0.043947390565217216,-0.039426987802551904,0.004014257279586958,0.21247638313778966,0.017086773377024488,-0.42451643396258076,0.925,-8.907895942641609,-326.50631023103597,13631.29621533171,-1.0738617536704336,-153.38183990188725,3707.7078827063488,-2.2247440627220296,491.91573486945697,-5428.132465402852,6.718909020101371,-221.87474291993198,-3932.4155285575916,1.7753464119014168,236.85125412120323,-6596.170408221344,7.270944999636448,-593.0998611490251,925.4782496083408
5,0.968,-0.034,-3.6967644353566693,0.4325274952292347,1.3379519512863332,0.4458618107144714,1.0355387517932757,-2.9930127743675157,0.968,24.627637429590436,1070.379529830064,-42263.12336883748,-19.35249395393715,288.3338581341644,25514.846339787116,28.124363437410622,-678.4222350966509,-27232.524212236614,-25.434446063796827,-97.10347294653252,28867.621107607534,6.362821231387279,-573.8862464226685,-5015.432987030119,-24.40589353631958,539.0143002085211,15156.513207923334
3,0.982,0.239,-2.8431937113763226,0.023352505391684132,1.7184860880986568,-0.05089380098815465,1.0456616614548426,-3.1736718052414488,0.982,40.9370147392883,137.9801572339211,-56384.98957486272,-12.063959654711606,715.0186393609844,19070.100601941842,12.317005057133425,-1059.7475967544824,-13958.769594460056,-23.828145887616863,425.3997081089894,27896.84808221798,-4.77372702408417,-581.0225457251845,4756.683824403453,-11.044943265685383,700.2832123721782,4368.833133633865
5,1.006,-0.029,-2.684892348220437,0.43994514455021067,1.4025465869026432,-0.1432740782962145,0.7049384848805097,-3.3622546309194363,1.006,1.9958377861083836,-794.9867217276579,-37174.92514167162,13.095031319814629,703.3686929270322,-1128.4646925787433,-10.263703556752173,-848.4320960767027,13997.099601657033,-0.8369490934540014,707.160544975208,5869.480896977102,-9.895380435653598,-250.18658925461017,13663.129735380715,-4.691327450977827,510.9483554536615,-16507.227868395436
6,1.083,-0.042,-3.6676174368483645,0.39512508935899626,1.328771519420843,0.5364269456004572,1.005623808414093,-2.941281215338404,1.083,145.22423451940597,-3237.807559365728,-77032.94466131699,-17.95583272622897,457.6167041535359,8668.207361634857,-52.75872525257997,1512.0558256794168,28785.01339719166,-8.345116444250527,-291.1608635678906,4754.317642219174,-38.247018341902475,771.8089887580734,20755.92917612786,95.47690255477542,-2889.1813329324204,-50680.77472914205
4,1.103,0.082,0.05757841202329293,-0.054244833151983765,0.0045029494701453706,0.28031733116280927,0.02171189589480946,-0.564160227414647,1.103,53.98539965494785,-5013.832679698384,-26957.135583002033,-4.331422389768732,692.5901585624439,2223.32756984363,-11.795846534697912,2078.038307138355,4070.89610428561,-15.174319152878109,-104.02500038490163,9834.81297040283,-16.888697899470237,1225.8016467315779,8365.003577883583,15.926691808317855,-3936.683821325879,-4672.359250561625
6,1.128,-0.031,-2.7263613712478225,0.40425316134692657,1.4101562224413386,-0.17306684862775773,0.6090850023609812,-3.3825353568276104,1.128,-85.48200910236994,-3755.1323057224895,52733.974414971526,13.338632878649571,450.506311852232,-7716.046923402364,41.08931024514369,1422.6785857248365,-26491.744288990572,-10.355096192298289,156.7834429768365,6814.992549841579,18.690269037880512,986.9695699039323,-13008.822359315538,-81.21456884992264,-2562.7813910552045,50747.21287739259
7,1.198,-0.044,-3.638487891632579,0.35770523019623784,1.3195910875553527,0.6270095337789628,0.97569141174239,-2.889549656309292,1.198,9.077282232824942,403.89395668889375,38852.363495007594,-5.359921473056957,295.9751884352727,-7627.151302957869,4.902184893989858,-486.10517926465474,-18901.05384596013,-6.433408371405737,-75.16673472134144,9461.172485937619,2.285073843495228,-600.9336953452569,-4316.3401227747945,-1.326935309997559,164.5821810090946,40261.06506617766
4,1.239,0.241,-2.735419630065673,0.025202554398798118,1.6693725229475362,-0.06572909963010645,0.9984854117734361,-3.1449436857536224,1.239,2.8965330589306575,1503.0519753605372,-15662.720439448589,20.29744294429898,-146.88496914011296,-22148.181214979013,-14.287196584183988,-1060.1139986034698,22248.849139179947,-12.665698964691098,619.5177484533117,14010.069539663127,-31.156214769643043,-336.80942677963867,38213.75620869643,-18.033091754190878,1846.473881721781,10576.411741715507
7,1.251,-0.03,-2.7678478475677277,0.36854372485112263,1.4177833112725537,-0.2028596189593009,0.5132315198414525,-3.402798629443265,1.251,26.74163192302419,1165.9313014356342,-45213.39290124963,15.821040248643657,-452.51501712995645,-15562.928596943973,-29.088066122986213,-665.8140223167184,38408.85192206151,-2.521740217456566,777.3357185539076,2848.7244966773574,-33.516177323131416,233.3440605639059,39616.64507597708,12.040875805440185,1866.4608583275817,-24765.103328919708
5,1.28,0.081,0.0711919801888487,-0.06906267850141562,0.004991641660703782,0.3481582791878289,0.026354471705114377,-0.7038040208667135,1.28,3.0039907020548213,-1345.083998176776,-40067.028957024326,-2.872220844162313,-209.57748144753475,9293.24859703038,-8.61794937494388,837.0416663416997,23026.599845646477,15.25573704575704,137.89605372047887,-17309.113412737748,3.387166868602561,828.8385681202273,1364.2991567641084,21.335714756604283,-704.0776251620933,-50940.654957275736
8,1.314,-0.043,-3.6093408931242736,0.3203028243259994,1.3104106556898627,0.7175746686649486,0.9457764683632073,-2.8378180972801803,1.314,-63.718024217451116,-852.9912733260155,22188.86306476632,7.342851487259312,142.9103010750041,4827.696046602187,25.0703969616517,472.0775202331958,-12730.250946903818,1.0049205757617083,-261.6464604590745,-6040.494078122988,13.881255202547939,111.06910829236824,-15761.014253721587,-43.44517436035704,-933.3155772691194,6447.787751796384
8,1.373,-0.03,-2.8093168705951124,0.33283428835531864,1.425392946811249,-0.23265238929084414,0.417360584029404,-3.423061902058919,1.373,-0.45938410876181024,1246.0875678774235,1457.7353077828902,-0.35404024087907926,-139.41206215937663,-251.57683163541753,-0.18850924771199118,-483.3636247051952,-532.9745136756383,1.692508604939606,-33.354940015688626,-768.2213130606601,0.20557113191114418,-271.10027534519077,-924.8086198250957,1.0053339025923655,797.5353731497232,999.7145565192113
9,1.429,-0.042,-3.580193894615968,0.28290041845576086,1.3012302238243725,0.8081398035509344,0.9158440716915044,-2.7860865382510682,1.429,78.5651309472153,-485.8372061727981,30130.991302300237,-8.637164250828738,87.46923578800283,-68122.69308969063,-30.193367900519082,319.2087494144858,58990.578944991146,-2.5677094553485205,-322.87392255547303,51702.62484579053,-17.06541863385781,-27.75270168858475,172792.4140830497,48.01330473550232,-652.650503787499,71466.2499376709
6,1.458,0.081,0.08480554835440447,-0.08389797714336743,0.005480333851262195,0.4159992272128485,0.030979594222899347,-0.8434652676112996,1.458,35.98713824881957,1304.9251580956116,55480.20221990779,-2.5656206919819677,-2971.989860409255,-46556.15554910184,-8.095899183623036,2700.6169608085856,15019.23850779577,-15.637439328070148,2030.6068803874007,45824.475865830245,-13.65536778822026,7512.939112909271,102158.51597912048,6.678617550137858,2882.0457538337523,82325.9222508235
